pid,group,name,slice,otsu_foreground,huang_foreground,otsu_foreground_ratio,huang_foreground_ratio,otsu_foreground_normalized,huang_foreground_normalized
15,14,3,8,5845,14785,0.0891876220703125,0.2256011962890625,0.4412986032465081,0.5963617295901904
15,14,3,9,6093,16205,0.0929718017578125,0.2472686767578125,0.4600226500566251,0.6536382704098096
15,14,3,10,6530,18737,0.099639892578125,0.2859039306640625,0.49301623254058136,0.7557679896740884
15,14,3,11,8513,21366,0.1298980712890625,0.326019287109375,0.6427331068327671,0.861810261374637
15,14,3,12,9126,22533,0.139251708984375,0.3438262939453125,0.6890147225368063,0.9088818973862536
15,14,3,13,11120,23843,0.169677734375,0.3638153076171875,0.8395620989052472,0.9617215230719587
15,14,3,14,11831,24523,0.1805267333984375,0.3741912841796875,0.8932427331068328,0.9891497257179735
15,14,3,15,13061,24536,0.1992950439453125,0.3743896484375,0.9861079652699132,0.989674088415618
15,14,3,16,13245,24792,0.2021026611328125,0.3782958984375,1.0,1.0
15,14,3,17,12204,24708,0.18621826171875,0.37701416015625,0.9214043035107587,0.9966118102613747
15,14,3,18,10134,23112,0.154632568359375,0.3526611328125,0.765118912797282,0.9322362052274927
15,14,3,19,9229,22806,0.1408233642578125,0.347991943359375,0.6967912419781049,0.9198935140367861
15,14,3,20,8253,20759,0.1259307861328125,0.3167572021484375,0.6231030577576444,0.837326556953856
15,14,3,21,7910,18785,0.120697021484375,0.2866363525390625,0.5972064930162325,0.75770409809616
15,14,3,22,6613,16737,0.1009063720703125,0.2553863525390625,0.4992827482068705,0.6750968054211036
15,14,3,23,5738,14533,0.087554931640625,0.2217559814453125,0.43322008305020765,0.5861971603743142
15,14,3,24,4716,12207,0.07196044921875,0.1862640380859375,0.35605889014722536,0.4923765730880929
15,14,3,25,4851,9739,0.0740203857421875,0.1486053466796875,0.3662514156285391,0.39282833171990966
15,14,3,26,4023,7543,0.0613861083984375,0.1150970458984375,0.3037372593431484,0.3042513714101323
15,14,3,27,3816,6406,0.0582275390625,0.097747802734375,0.2881087202718007,0.2583898031623104
15,14,3,28,3205,4534,0.0489044189453125,0.069183349609375,0.24197810494526237,0.1828815747015166
15,14,3,29,2384,3147,0.036376953125,0.0480194091796875,0.17999244998112496,0.12693610842207165
15,14,3,30,1871,2345,0.0285491943359375,0.0357818603515625,0.14126085315213288,0.09458696353662471
16,6,1,1,2465,2904,0.0376129150390625,0.0443115234375,0.2532100667693888,0.17058270676691728
16,6,1,2,2548,3073,0.03887939453125,0.0468902587890625,0.2617360041088855,0.18050986842105263
16,6,1,3,3179,4038,0.0485076904296875,0.061614990234375,0.32655367231638416,0.23719454887218044
16,6,1,4,3970,5287,0.060577392578125,0.0806732177734375,0.40780688238315355,0.31056156015037595
16,6,1,5,4602,6477,0.070220947265625,0.0988311767578125,0.4727272727272727,0.3804628759398496
16,6,1,6,4518,7488,0.068939208984375,0.1142578125,0.46409861325115565,0.4398496240601504
16,6,1,7,4171,8224,0.0636444091796875,0.12548828125,0.4284540318438623,0.4830827067669173
16,6,1,8,4052,8839,0.06182861328125,0.1348724365234375,0.4162300975860298,0.5192081766917294
16,6,1,9,4477,10372,0.0683135986328125,0.15826416015625,0.4598870056497175,0.6092575187969925
16,6,1,10,4677,11373,0.0713653564453125,0.1735382080078125,0.48043143297380586,0.6680568609022557
16,6,1,11,5241,13340,0.0799713134765625,0.20355224609375,0.538366718027735,0.7835996240601504
16,6,1,12,6635,14810,0.1012420654296875,0.225982666015625,0.6815613764766307,0.8699483082706767
16,6,1,13,7376,15771,0.112548828125,0.2406463623046875,0.757678479712378,0.9263980263157895
16,6,1,14,8337,16583,0.1272125244140625,0.2530364990234375,0.8563944530046225,0.9740953947368421
16,6,1,15,9735,17024,0.1485443115234375,0.259765625,1.0,1.0
16,6,1,16,8771,17002,0.1338348388671875,0.259429931640625,0.9009758602978942,0.9987077067669173
16,6,1,17,8982,16562,0.137054443359375,0.252716064453125,0.9226502311248074,0.9728618421052632
16,6,1,18,7458,15327,0.113800048828125,0.2338714599609375,0.7661016949152543,0.9003171992481203
16,6,1,19,7217,14696,0.1101226806640625,0.2242431640625,0.7413456599897278,0.8632518796992481
